date,aw_acft
5/1/22,1.844462653
5/2/22,0
5/3/22,0
5/4/22,0
5/5/22,0
5/6/22,0.487953083
5/7/22,0
5/8/22,0
5/9/22,0.355929551
5/10/22,2.134840771
5/11/22,0.730272425
5/12/22,0
5/13/22,0.227036283
5/14/22,2.068184538
5/15/22,0.791772927
5/16/22,0
5/17/22,0
5/18/22,0
5/19/22,0
5/20/22,0.085990223
5/21/22,1.991769244
5/22/22,0.947917913
5/23/22,0
5/24/22,0
5/25/22,0
5/26/22,0
5/27/22,0
5/28/22,0
5/29/22,0
5/30/22,0.859165692
5/31/22,2.138339302
6/1/22,0.12281687
6/2/22,0.125947135
6/3/22,2.147914231
6/4/22,1.147334211
6/5/22,0
6/6/22,0
6/7/22,0
6/8/22,0
6/9/22,1.254868023
6/10/22,1.929900476
6/11/22,0
6/12/22,0
6/13/22,0.767099073
6/14/22,1.291878804
6/15/22,1.282119742
6/16/22,0.631761142
6/17/22,0.853089295
6/18/22,0
6/19/22,0
6/20/22,0
6/21/22,0.07052303
6/22/22,0.242503476
6/23/22,2.099303056
6/24/22,0.847012899
6/25/22,0
6/26/22,0.340646492
6/27/22,2.059898543
6/28/22,2.108141451
6/29/22,2.016811365
6/30/22,2.060082676
7/1/22,0.227220417
7/2/22,0
7/3/22,0
7/4/22,0
7/5/22,0
7/6/22,0
7/7/22,0
7/8/22,0.951600578
7/9/22,2.069473471
7/10/22,2.050876014
7/11/22,2.128948507
7/12/22,2.034488156
7/13/22,0.610401687
7/14/22,0
7/15/22,0
7/16/22,1.770441091
7/17/22,1.126343022
7/18/22,0
7/19/22,0
7/20/22,0
7/21/22,0
7/22/22,0
7/23/22,0
7/24/22,0
7/25/22,0
7/26/22,0
7/27/22,0
7/28/22,0.932818988
7/29/22,2.023071895
7/30/22,1.280278409
7/31/22,2.006684037
8/1/22,1.197234319
8/2/22,1.872082639
8/3/22,0
8/4/22,0
8/5/22,0
8/6/22,0
8/7/22,0.23937321
8/8/22,2.163381423
8/9/22,0.878131416
8/10/22,0
8/11/22,0
8/12/22,0
8/13/22,0.859718092
8/14/22,2.222119926
8/15/22,0.340646492
8/16/22,0
8/17/22,0
8/18/22,1.224486038
